用户ID,登录时间,登录地址,登录资源,登录结果,登录失败次数,登录成功率,时间范围分钟,每分钟失败比例,失败登录,时间间隔,失败组,连续失败次数,连续失败3次,用户编码,异常类型编码,异常类型
unknown_user,2023-01-25 00:00:00,3232235781,server2,0,26,0.48,49.0,0.5306122448979592,1,0.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:01:00,3325256731,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:02:00,167772180,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:03:00,2886729768,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:04:00,2886729772,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:05:00,2886729769,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:06:00,3405803812,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:07:00,3232235817,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:08:00,3232235817,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:09:00,3232235784,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:10:00,3405803793,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:11:00,3232235794,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:12:00,3232235784,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:13:00,2886729764,server3,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:14:00,3405803784,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:15:00,167772196,server3,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:16:00,2886729748,server3,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:17:00,2886729755,server3,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:18:00,3405803787,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:19:00,3232235825,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:20:00,3405803791,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:21:00,3325256711,server3,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:22:00,3325256751,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:23:00,3405803779,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:24:00,3232235811,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:25:00,3232235777,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:26:00,2886729738,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:27:00,3405803814,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:28:00,3232235783,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:29:00,167772190,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:30:00,3232235825,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:31:00,3325256721,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:32:00,3232235802,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:33:00,3232235815,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:34:00,2886729748,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:35:00,167772162,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:36:00,3325256734,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:37:00,3325256705,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:38:00,3232235777,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:39:00,167772202,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:40:00,167772182,server2,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:41:00,3325256708,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:42:00,2886729775,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:43:00,2886729747,server3,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:44:00,3405803808,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:45:00,3405803781,server1,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:46:00,3232235806,server3,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:47:00,167772198,server3,0,26,0.48,49.0,0.5306122448979592,1,60.0,0,26,1,0,1,"频繁登录失败, 未知用户登录"
unknown_user,2023-01-25 00:48:00,3325256728,server1,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
unknown_user,2023-01-25 00:49:00,3405803820,server2,1,26,0.48,49.0,0.5306122448979592,0,60.0,0,26,1,0,2,"频繁登录失败, 非正常源地址, 未知用户登录"
user1,2023-01-03 06:21:00,3232235823,server2,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,0.0,0,0,0,1,0,正常
user1,2023-01-03 09:35:00,3405803780,server2,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,11640.0,0,0,0,1,3,非正常源地址
user1,2023-01-03 09:43:00,3405803815,server3,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,480.0,0,0,0,1,3,非正常源地址
user1,2023-01-03 11:27:00,3232235812,server3,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,6240.0,0,0,0,1,0,正常
user1,2023-01-03 11:44:00,3405803784,server1,0,9,0.7692307692307693,24109.0,0.0003733045750549587,1,1020.0,1,1,0,1,3,非正常源地址
user1,2023-01-03 19:00:00,3405803789,server1,0,9,0.7692307692307693,24109.0,0.0003733045750549587,1,26160.0,2,1,0,1,3,非正常源地址
user1,2023-01-03 19:04:00,3232235796,server1,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,240.0,2,1,0,1,0,正常
user1,2023-01-03 21:40:00,167772187,server3,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,9360.0,2,1,0,1,0,正常
user1,2023-01-04 08:04:00,3232235781,server1,0,9,0.7692307692307693,24109.0,0.0003733045750549587,1,37440.0,3,1,0,1,0,正常
user1,2023-01-04 08:16:00,3232235813,server2,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,720.0,3,1,0,1,0,正常
user1,2023-01-04 10:20:00,2886729757,server1,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,7440.0,3,1,0,1,0,正常
user1,2023-01-04 13:24:00,3405803806,server2,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,11040.0,3,1,0,1,3,非正常源地址
user1,2023-01-04 15:37:00,3405803804,server2,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,7980.0,3,1,0,1,3,非正常源地址
user1,2023-01-04 15:42:00,3232235781,server2,1,9,0.7692307692307693,24109.0,0.0003733045750549587,0,300.0,3,1,0,1,0,正常
